1031	1031.cram
1034	1034.cram
1059	1059.bam
1064	1064.cram
1076	1076.cram
1078	1078.cram
2003	2003.bam
2047	2047.cram
2059	2059.cram
2073	2073.cram
SAMD00026329	SAMD00026329.cram
SAMD00026330	SAMD00026330.cram
SAMD00026331	SAMD00026331.cram
SAMEA2421540	SAMEA2421540.bam
SAMEA2421541	SAMEA2421541.bam
SAMEA2421542	SAMEA2421542.bam
SAMEA2421543	SAMEA2421543.bam
SAMEA2421544	SAMEA2421544.bam
SAMEA2421545	SAMEA2421545.bam
SAMEA2421546	SAMEA2421546.bam
SAMEA2421547	SAMEA2421547.bam
SAMEA2421548	SAMEA2421548.bam
SAMEA4374763	SAMEA4374763.bam
SAMEA4374764	SAMEA4374764.bam
SAMEA4374765	SAMEA4374765.bam
SAMEA4374766	SAMEA4374766.bam
SAMEA4374767	SAMEA4374767.bam
SAMEA4374768	SAMEA4374768.bam
SAMEA4374769	SAMEA4374769.bam
SAMEA4374770	SAMEA4374770.bam
SAMEA4374771	SAMEA4374771.bam
SAMEA4374772	SAMEA4374772.bam
SAMEA4374773	SAMEA4374773.bam
SAMEA4374774	SAMEA4374774.bam
SAMEA4374775	SAMEA4374775.bam
SAMEA4374776	SAMEA4374776.bam
SAMEA4374777	SAMEA4374777.bam
SAMEA4374778	SAMEA4374778.bam
SAMEA4374779	SAMEA4374779.bam
SAMEA4374780	SAMEA4374780.bam
SAMEA4374781	SAMEA4374781.bam
SAMEA4374782	SAMEA4374782.bam
SAMEA4374785	SAMEA4374785.bam
SAMEA4374787	SAMEA4374787.bam
SAMEA4374788	SAMEA4374788.bam
SAMEA4374789	SAMEA4374789.bam
SAMEA4374790	SAMEA4374790.bam
SAMEA4374791	SAMEA4374791.bam
SAMEA4374792	SAMEA4374792.bam
SAMEA4374793	SAMEA4374793.bam
SAMEA4374794	SAMEA4374794.bam
SAMEA4374795	SAMEA4374795.bam
SAMEA4374796	SAMEA4374796.bam
SAMEA4374797	SAMEA4374797.bam
SAMEA4374798	SAMEA4374798.bam
SAMEA4374799	SAMEA4374799.bam
SAMEA5204226	SAMEA5204226.bam
SAMEA5204228	SAMEA5204228.bam
SAMEA5204229	SAMEA5204229.bam
