Sample	subspecies
1031	WES
1034	WES
1059	WES
1064	WES
1076	WES
1078	WES
2003	EAS
2047	WES
2059	WES
2073	WES
SAMD00026329	WES
SAMD00026330	WES
SAMD00026331	WES
SAMEA2421540	WES
SAMEA2421541	WES
SAMEA2421542	WES
SAMEA2421543	WES
SAMEA2421544	WES
SAMEA2421545	WES
SAMEA2421546	WES
SAMEA2421547	WES
SAMEA2421548	WES
SAMEA4374763	WES
SAMEA4374764	WES
SAMEA4374765	WES
SAMEA4374766	WES
SAMEA4374767	WES
SAMEA4374768	WES
SAMEA4374769	WES
SAMEA4374770	CEN
SAMEA4374771	CEN
SAMEA4374772	CEN
SAMEA4374773	CEN
SAMEA4374774	CEN
SAMEA4374775	CEN
SAMEA4374776	CEN
SAMEA4374777	CEN
SAMEA4374778	CEN
SAMEA4374779	CEN
SAMEA4374780	CEN
SAMEA4374781	CEN
SAMEA4374782	CEN
SAMEA4374785	CEN
SAMEA4374787	EAS
SAMEA4374788	EAS
SAMEA4374789	EAS
SAMEA4374790	EAS
SAMEA4374791	EAS
SAMEA4374792	EAS
SAMEA4374793	EAS
SAMEA4374794	EAS
SAMEA4374795	EAS
SAMEA4374796	EAS
SAMEA4374797	EAS
SAMEA4374798	EAS
SAMEA4374799	EAS
SAMEA5204226	WES
SAMEA5204228	WES
SAMEA5204229	WES
