bin	assigned_genes
1	BCAS3 (1)
2	
3	IGFBP7 (2), DIAPH3 (1), PKDCC (1)
4	GYPB (8), SRD5A3 (3), MYO3A (1)
5	SMYD3 (1)
6	ATP6V1H (1), KLF12 (1), MUC7 (1), OPCML (1)
7	UGT8 (7), MUC7 (5), CTNNA3 (2), AHCTF1 (1), CRIM1 (1), FSTL5 (1), IPMK (1), KDM4C (1), LY96 (1), PCDH7 (1), RHOBTB1 (1)
8	SH3YL1 (4), GPR158 (2), LINC01676 (2), FOXN3 (1), GALNTL6 (1), GFRA2 (1), MAB21L3 (1), OR51E2 (1), PLOD2 (1), RNF150 (1), SERPINE2 (1), SPINK2 (1), UNC13C (1)
9	HMGN1 (12), IGFBP7 (6), CDH6 (2), AGA (1), AP1S3 (1), HS3ST1 (1), LINC01676 (1), POSTN (1)
10	MTRR (11), COPS8 (3), LUZP2 (3), AJAP1 (2), MYO10 (2), AOAH (1), HS6ST1 (1), MARCHF1 (1), MPC1 (1), OXA1L (1), PFDN4 (1), RBFOX1 (1), SLC39A11 (1), TCERG1L (1)
