bin	frac	se	num_len	den_len	den_n
1	0.0002423231788565478	2.2782763985097925e-05	56662.0	233828230.0	466742
2	0.0005029244073166228	3.227046848583392e-05	121615.0	241815665.0	482696
3	0.0007454087163183944	3.915746787573202e-05	181487.0	243473139.0	485782
4	0.001251865340420457	5.047292844873225e-05	307927.0	245974539.0	490791
5	0.001454119603341912	5.449846547994587e-05	355997.0	244819614.0	488877
6	0.0016940101226775451	5.918480979748708e-05	409593.0	241788992.0	482791
7	0.002392898423541797	7.018616890641675e-05	580715.0	242682679.0	484597
8	0.002690600915176057	7.284857061256934e-05	681506.0	253291373.0	505635
9	0.0036859384908673495	8.718025729075263e-05	892180.0	242049617.0	483179
10	0.006203223329859009	0.00011229429620276681	1519481.0	244950233.0	488877
