library	category	k_obs	fg_genes	exp_unmatched	fold_unmatched	p_unmatched	exp_matched	fold_matched	p_matched	fold_matched_frac	p_matched_frac	p_unmatched_BH	p_matched_BH	p_matched_frac_BH	verdict
MSigDB_Hallmark_2020	Oxidative Phosphorylation	4	ATP6V1H,MPC1,MTRR,OXA1L	0.54	7.41	0.0020773543752352934	0.39	10.18	0.0004997501249375312	10.076	0.0004997501249375312	0.03351307256064908	0.021989005497251374	0.021989005497251374	real_survives_matching
GO_Biological_Process_2023	Regulation Of Filopodium Assembly (GO:0051489)	3	BCAS3,MYO10,MYO3A	0.11	26.11	0.00020551455297237656	0.23	12.96	0.0029985007496251873	12.833	0.0029985007496251873	0.00904264033078457	0.06596701649175413	0.06596701649175413	ascertainment_artifact
KEGG_2021_Human	Lysosome	3	AGA,AP1S3,ATP6V1H	0.35	8.56	0.005202236512189226	0.37	8.2	0.004997501249375313	8.123	0.004997501249375313	0.04577968130726519	0.07329668499083793	0.07329668499083793	ascertainment_artifact
GO_Cellular_Component_2023	trans-Golgi Network (GO:0005802)	4	AP1S3,MARCHF1,POSTN,RBFOX1	0.66	6.08	0.00421831859902097	0.84	4.76	0.00849575212393803	4.71	0.00849575212393803	0.04577968130726519	0.09345327336331834	0.09345327336331834	ascertainment_artifact
GO_Cellular_Component_2023	Endosome Membrane (GO:0010008)	4	LY96,MARCHF1,OR51E2,RHOBTB1	0.97	4.14	0.015745185018255423	0.89	4.51	0.01249375312343828	4.463	0.01249375312343828	0.09896973440046265	0.10994502748625687	0.10994502748625687	ns
Reactome_2022	RHO GTPase Effectors R-HSA-195258	3	AHCTF1,DIAPH3,KDM4C	0.75	4.02	0.03871673991256879	0.55	5.47	0.014992503748125937	5.417	0.014992503748125937	0.14147124495644434	0.10994502748625688	0.10994502748625688	ns
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	4	CDH6,PLOD2,POSTN,SERPINE2	0.55	7.22	0.0022849822200442555	1.06	3.78	0.02048975512243878	3.742	0.02048975512243878	0.03351307256064908	0.11269365317341329	0.11269365317341329	ascertainment_artifact
GO_Cellular_Component_2023	Lytic Vacuole Membrane (GO:0098852)	3	AP1S3,ATP6V1H,MARCHF1	0.78	3.83	0.043703334734215074	0.61	4.89	0.02048975512243878	4.841	0.02048975512243878	0.14147124495644434	0.11269365317341329	0.11269365317341329	ns
Reactome_2022	Signaling By Rho GTPases R-HSA-194315	5	AHCTF1,DIAPH3,KDM4C,PCDH7,RHOBTB1	1.77	2.83	0.031313634553986947	1.9	2.63	0.0384807596201899	2.601	0.0384807596201899	0.13609163933552457	0.15575545560553058	0.15575545560553058	ns
GO_Cellular_Component_2023	Lysosomal Membrane (GO:0005765)	3	AP1S3,ATP6V1H,MARCHF1	0.97	3.09	0.07311529996924247	0.72	4.15	0.038980509745127435	4.114	0.038980509745127435	0.17872628881370384	0.15575545560553058	0.15575545560553058	ns
Reactome_2022	Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	5	AHCTF1,DIAPH3,KDM4C,PCDH7,RHOBTB1	1.81	2.77	0.03402290983388114	1.93	2.59	0.04097951024487756	2.566	0.04097951024487756	0.13609163933552457	0.15575545560553058	0.15575545560553058	ns
GO_Cellular_Component_2023	Lysosome (GO:0005764)	4	AGA,AP1S3,ATP6V1H,MARCHF1	1.37	2.91	0.04822883350787876	1.34	3.0	0.04247876061969016	2.969	0.04247876061969016	0.14147124495644434	0.15575545560553058	0.15575545560553058	ns
Reactome_2022	Diseases Of Metabolism R-HSA-5668914	3	MTRR,MUC7,SRD5A3	0.68	4.44	0.030006707275756803	0.93	3.22	0.062468765617191405	3.189	0.062468765617191405	0.13609163933552457	0.2114327451658786	0.2114327451658786	ns
GO_Biological_Process_2023	Vesicle-Mediated Transport (GO:0016192)	3	AP1S3,ATP6V1H,RHOBTB1	1.13	2.66	0.10273932279847048	0.94	3.19	0.06796601699150424	3.164	0.06796601699150424	0.21526334300631908	0.21256038647342995	0.21256038647342995	ns
Reactome_2022	Innate Immune System R-HSA-168249	5	AGA,ATP6V1H,LY96,MUC7,MYO10	2.87	1.74	0.15810320392190097	2.2	2.28	0.07246376811594203	2.255	0.07246376811594203	0.2790885824345561	0.21256038647342995	0.21256038647342995	ns
GO_Cellular_Component_2023	Early Endosome (GO:0005769)	3	AP1S3,MARCHF1,OR51E2	0.84	3.58	0.05154204830757706	1.04	2.9	0.0879560219890055	2.867	0.0879560219890055	0.1417406328458369	0.24187906046976512	0.24187906046976512	ns
GO_Cellular_Component_2023	Cytoplasmic Vesicle Membrane (GO:0030659)	3	AP1S3,LY96,RHOBTB1	1.06	2.82	0.0901469122001926	1.08	2.78	0.09545227386306847	2.75	0.09545227386306847	0.1983232068404237	0.24705294411617723	0.24705294411617723	ns
Reactome_2022	Metabolism Of Proteins R-HSA-392499	8	COPS8,GALNTL6,IGFBP7,MUC7,OPCML,OXA1L,PFDN4,SRD5A3	5.22	1.53	0.1466542989239987	4.92	1.63	0.12693653173413294	1.611	0.12693653173413294	0.2790885824345561	0.3102892997945472	0.3102892997945472	ns
GO_Cellular_Component_2023	Adherens Junction (GO:0005912)	3	AJAP1,CDH6,CTNNA3	0.41	7.3	0.008060252896915258	1.29	2.32	0.1344327836081959	2.3	0.1344327836081959	0.059108521244045226	0.3113180251979274	0.3113180251979274	ns
Reactome_2022	Cellular Responses To Stress R-HSA-2262752	3	ATP6V1H,IGFBP7,LY96	2.01	1.49	0.3270421313005582	1.35	2.22	0.15342328835582209	2.2	0.15342328835582209	0.4251018035028655	0.3234216225220723	0.3234216225220723	ns
