tissue	median_TPM_gtex_v10	rank
Minor_Salivary_Gland	31781.000	1
Skin_Sun_Exposed_Lower_leg	3.532	2
Skin_Not_Sun_Exposed_Suprapubic	2.094	3
Brain_Cerebellum	0.638	4
Testis	0.480	5
Esophagus_Mucosa	0.465	6
Small_Intestine_Terminal_Ileum	0.456	7
Pituitary	0.411	8
Spleen	0.288	9
Ovary	0.247	10
Liver	0.232	11
Thyroid	0.151	12
Brain_Spinal_cord_cervical_c-1	0.141	13
Stomach	0.124	14
Brain_Cerebellar_Hemisphere	0.118	15
Prostate	0.096	16
Breast_Mammary_Tissue	0.087	17
Pancreas	0.071	18
Esophagus_Gastroesophageal_Junction	0.065	19
Adrenal_Gland	0.065	20
Uterus	0.060	21
Colon_Sigmoid	0.054	22
Colon_Transverse	0.053	23
Vagina	0.047	24
Lung	0.041	25
Esophagus_Muscularis	0.033	26
Adipose_Visceral_Omentum	0.024	27
Brain_Substantia_nigra	0.019	28
Heart_Atrial_Appendage	0.014	29
Nerve_Tibial	0.011	30
Kidney_Cortex	0.005	31
Adipose_Subcutaneous	0.000	32
Artery_Aorta	0.000	33
Artery_Coronary	0.000	34
Artery_Tibial	0.000	35
Bladder	0.000	36
Brain_Amygdala	0.000	37
Brain_Anterior_cingulate_cortex_BA24	0.000	38
Brain_Caudate_basal_ganglia	0.000	39
Brain_Cortex	0.000	40
Brain_Frontal_Cortex_BA9	0.000	41
Brain_Hippocampus	0.000	42
Brain_Hypothalamus	0.000	43
Brain_Nucleus_accumbens_basal_ganglia	0.000	44
Brain_Putamen_basal_ganglia	0.000	45
Cells_Cultured_fibroblasts	0.000	46
Cells_EBV-transformed_lymphocytes	0.000	47
Cervix_Ectocervix	0.000	48
Cervix_Endocervix	0.000	49
Fallopian_Tube	0.000	50
Heart_Left_Ventricle	0.000	51
Kidney_Medulla	0.000	52
Muscle_Skeletal	0.000	53
Whole_Blood	0.000	54
