Rank,Gene name,Chromosome,T1
1,HLA-A,6,307.4
2,FANK1,10,302.2
3,HLA-B,6,272.3
4,TEKT4,2,271.7
5,HLA-DPA1,6,267.1
6,HLA-C,6,262.7
7,MLL3,7,240.3
8,HLA-DRB5,6,227.2
9,OR4C3,11,209.3
10,HLA-DQA1,6,205.4
11,FRG2C,3,189.5
12,HLA-DQB1,6,186.7
13,HLA-DPB1,6,180.2
14,SNTG2,2,170.8
15,ZNF717,3,170.3
16,POLR1E,9,167.8
17,DMBT1,10,166.4
18,CPE,4,166.0
19,RNF144B,6,163.2
20,CTNNA3,10,160.1
21,HLA-DRB1,6,157.2
22,OR4C45,11,156.4
23,AXDND1,1,151.8
24,SLC2A9,4,150.8
25,ZNF85,19,150.4
26,MAP2K3,17,150.3
27,KCNJ12,17,150.1
28,SORD,15,148.5
29,ARHGAP42,11,146.6
30,KCNJ18,17,146.3
31,ARPC5,1,143.7
32,MCM9,6,141.1
33,C18orf1,18,139.5
34,SLC38A9,5,132.0
35,GRIN2A,16,131.9
36,MYOM2,8,131.7
37,GBA3,4,127.8
38,STK32A,5,125.2
39,CSMD1,8,125.2
40,FHIT,3,125.0
41,ART3,4,124.5
42,RGS6,14,123.7
43,CEP112,17,123.7
44,IGSF5,21,123.6
45,GRHL1,2,122.8
46,RGL1,1,121.9
47,SNX19,11,121.8
48,SPEF2,5,121.2
49,FXN,9,121.0
50,PTCHD3,10,120.3
51,WWTR1,3,119.9
52,WDR75,2,119.4
53,C1orf130,1,118.2
54,FOPNL,16,118.1
55,SGCG,13,117.6
56,ZNF568,19,117.0
57,FRAS1,4,116.1
58,SLC39A12,10,116.0
59,KANK1,9,115.5
60,EMID2,7,114.7
61,MYRIP,3,114.7
62,PRIM2,6,114.4
63,ASB18,2,114.3
64,HLA-DRA,6,114.2
65,ARHGAP24,4,113.8
66,KCNAB1,3,113.8
67,TRIM40,6,111.9
68,LUZP2,11,111.8
69,ABCD4,14,111.7
70,LGALS8,1,111.1
71,BNC2,9,109.4
72,PTPRB,12,109.3
73,RBFOX1,16,109.1
74,KL,13,106.6
75,HEATR1,1,106.3
76,POLN,4,105.5
77,PDE11A,2,105.1
78,VWDE,7,103.9
79,SPATA13,13,103.7
80,SPATA16,3,103.6
81,APBB1IP,10,103.0
82,MPHOSPH6,16,102.0
83,CES5A,16,101.9
84,PARP4,13,100.9
85,KRT83,12,100.9
86,MOSC2,1,100.9
87,PACRG,6,99.1
88,RCBTB1,13,97.8
89,FAM55A,11,96.5
90,GALC,14,96.0
91,LRPPRC,2,95.6
92,SLC24A4,14,95.3
93,ADCY5,3,95.0
94,ULK4,3,94.9
95,FYB,5,94.3
96,KIAA0748,12,93.8
97,COL4A3,2,93.7
98,CCDC169,13,93.6
99,CCDC169-SOHLH2,13,93.6
100,PLEKHG1,6,93.3
