ensg_id	hgnc_symbol	gene_name_primary	gene_names_all	uniprot_accession	enst_id	chrom_hg38	start_hg38	end_hg38	strand_hg38	chrom_hg19	start_hg19	end_hg19	strand_hg19
ENSG00000000003	TSPAN6	TSPAN6	TSPAN6 TM4SF6 UNQ767/PRO1560	O43657	ENST00000373020	X	100627108	100639991	-1	X	99883667.0	99894988.0	-1.0
ENSG00000000005	TNMD	TNMD	TNMD CHM1L UNQ771/PRO1565	Q9H2S6	ENST00000373031	X	100584936	100599885	1	X	99839799.0	99854882.0	1.0
ENSG00000000971	CFH	CFH	CFH HF HF1 HF2	P08603	ENST00000367429	1	196651754	196752476	1	1	196621008.0	196716634.0	1.0
ENSG00000001036	FUCA2	FUCA2	FUCA2 PSEC0151 UNQ227/PRO260	Q9BTY2	ENST00000002165	6	143493961	143511842	-1	6	143815948.0	143832827.0	-1.0
ENSG00000001461	NIPAL3	NIPAL3	NIPAL3 NPAL3	Q6P499	ENST00000374399;ENST00000003912;ENST00000358028	1	24413527	24476735	1	1	24742284.0	24799466.0	1.0
ENSG00000001561	ENPP4	ENPP4	ENPP4 KIAA0879 NPP4	Q9Y6X5	ENST00000321037	6	46129964	46146699	1	6	46097730.0	46114436.0	1.0
ENSG00000001617	SEMA3F	SEMA3F	SEMA3F	Q13275	ENST00000002829;ENST00000434342	3	50155012	50189075	1	3	50192478.0	50226508.0	1.0
ENSG00000001626	CFTR	CFTR	CFTR ABCC7	P13569	ENST00000649781;ENST00000003084	7	117287120	117715971	1	7	117105838.0	117356025.0	1.0
ENSG00000002586	CD99	CD99	CD99 MIC2 MIC2X MIC2Y	P14209	ENST00000611428;ENST00000381187;ENST00000381192;ENST00000482405;ENST00000623253	X	2690988	2741312	1	X	2609220.0	2659350.0	1.0
ENSG00000002587	HS3ST1	HS3ST1	HS3ST1 3OST 3OST1	O14792	ENST00000002596	4	11393150	11429564	-1	4	11394774.0	11431389.0	-1.0
ENSG00000002726	AOC1	AOC1	AOC1 ABP ABP1 DAO	P19801	ENST00000493429;ENST00000467291;ENST00000360937;ENST00000416793	7	150824627	150861504	1	7	150521715.0	150558592.0	1.0
ENSG00000002745	WNT16	WNT16	WNT16	Q9UBV4	ENST00000222462	7	121325367	121341104	1	7	120965421.0	120981158.0	1.0
ENSG00000003056	M6PR	M6PR	M6PR MPR46 MPRD	P20645	ENST00000000412	12	8940358	8951856	-1	12	9092959.0	9102551.0	-1.0
ENSG00000003436	TFPI	TFPI	TFPI LACI TFPI1	P10646	ENST00000392365;ENST00000233156;ENST00000409676;ENST00000339091	2	187463823	187565846	-1	2	188328957.0	188430487.0	-1.0
ENSG00000003989	SLC7A2	SLC7A2	SLC7A2 ATRC2 CAT2	P52569	ENST00000494857;ENST00000522656;ENST00000004531;ENST00000398090;ENST00000640220	8	17496975	17570573	1	8	17354597.0	17428082.0	1.0
ENSG00000004399	PLXND1	PLXND1	PLXND1 KIAA0620	Q9Y4D7	ENST00000324093	3	129555213	129606681	-1	3	129274018.0	129325661.0	-1.0
ENSG00000004468	CD38	CD38	CD38	P28907	ENST00000502843;ENST00000226279	4	15778275	15853232	1	4	15779898.0	15854853.0	1.0
