region	chrom	start	end	span_bp	n_tsps	support_min	support_max	min_r2_AFR	min_r2_EUR	min_r2_YRI	one_block	span_1e3cM_HapMapII	span_1e3cM_OMNI	assigned_gene	assignment_tier	in_draft49	draft_n_tsps	n_tsps_in_uncoalesced
21_41205924_41208874	21	41205924	41208874	2950	12	86	100	1.0	0.879	1.0	True	0.72	0.307	HMGN1	molqtl	True	9	6
5_8017470_8024003	5	8017470	8024003	6533	11	81	99	0.858	0.853	0.749	False	3.251	1.937	MTRR	molqtl	True	16	11
4_144655489_144662054	4	144655489	144662054	6565	8	89	100	0.992	0.982	0.978	True	2.243	0.739	GYPB	l2g	True	12	7
4_115378668_115379737	4	115378668	115379737	1069	7	88	100	0.982	0.992	1.0	True	0.021	0.269	UGT8	l2g	True	6	0
4_57918296_57919705	4	57918296	57919705	1409	6	82	93	0.024	0.003	0.038	False	3.84	5.783	IGFBP7	l2g	True	4	6
4_71210148_71210970	4	71210148	71210970	822	5	92	97	0.987	0.992	1.0	True	0.222	0.176	MUC7	molqtl	True	7	5
2_1138967_1139647	2	1138967	1139647	680	4	89	93	0.985	0.982	1.0	True	1.434	0.99	SH3YL1	molqtl	True	5	4
1_106125135_106131147	1	106125135	106131147	6012	3	82	85	0.808	0.579	0.908	False	3.899	3.121	LINC01676	molqtl	True	1	1
4_56144663_56147967	4	56144663	56147967	3304	3	94	97	0.966	0.955	0.944	True	0.667	0.599	SRD5A3	molqtl	True	3	0
11_24791431_24792057	11	24791431	24792057	626	3	84	85	0.929	0.955	0.912	True	0.009	1.244	LUZP2	nearest	True	3	0
2_237968214_237968421	2	237968214	237968421	207	3	90	95	1.0	1.0	1.0	True	0.058	0.066	COPS8	nearest	True	3	0
10_67278595_67279509	10	67278595	67279509	914	2	92	96	1.0	1.0	1.0	True	0.001	0.051	CTNNA3	l2g	True	1	2
5_29637400_29637695	5	29637400	29637695	295	2	96	97	0.985	1.0	1.0	True	0.221	0.016	CDH6	nearest	True	2	0
10_25593349_25593541	10	25593349	25593541	192	2	85	100	0.994	1.0	1.0	True	0.101	0.004	GPR158	nearest	True	2	0
5_16919819_16919992	5	16919819	16919992	173	2	100	100	0.986	1.0	1.0	True	0.133	0.121	MYO10	l2g	True	2	2
