region	chrom	start	end	span_bp	n_tsps
1_4917460_4917460	1	4917460	4917460	0	1
1_5348639_5348639	1	5348639	5348639	0	1
1_116732423_116732423	1	116732423	116732423	0	1
1_246380688_246380688	1	246380688	246380688	0	1
1_247627001_247627001	1	247627001	247627001	0	1
2_1138967_1139647	2	1138967	1139647	680	4
2_35952400_35952400	2	35952400	35952400	0	1
2_224638996_224638996	2	224638996	224638996	0	1
2_237968214_237968421	2	237968214	237968421	207	3
4_12087957_12087957	4	12087957	12087957	0	1
4_56144663_56147967	4	56144663	56147967	3304	3
4_57698600_57698600	4	57698600	57698600	0	1
4_57918296_57919462	4	57918296	57919462	1166	3
4_71210148_71210970	4	71210148	71210970	822	5
4_71386175_71386175	4	71386175	71386175	0	1
4_115378668_115379737	4	115378668	115379737	1069	7
4_141921518_141921518	4	141921518	141921518	0	1
4_144655489_144662054	4	144655489	144662054	6565	8
4_180069715_180069715	4	180069715	180069715	0	1
5_8017470_8024003	5	8017470	8024003	6533	10
5_16919819_16919992	5	16919819	16919992	173	2
5_29637400_29637695	5	29637400	29637695	295	2
6_166673913_166673913	6	166673913	166673913	0	1
8_21455324_21455324	8	21455324	21455324	0	1
10_25593349_25593349	10	25593349	25593349	0	1
10_62623360_62623360	10	62623360	62623360	0	1
10_67279509_67279509	10	67279509	67279509	0	1
11_5373738_5373738	11	5373738	5373738	0	1
11_24791985_24792057	11	24791985	24792057	72	2
11_133338872_133338872	11	133338872	133338872	0	1
13_37973335_37973335	13	37973335	37973335	0	1
13_59433547_59433547	13	59433547	59433547	0	1
14_22758552_22758552	14	22758552	22758552	0	1
14_89538401_89538401	14	89538401	89538401	0	1
17_70908606_70908606	17	70908606	70908606	0	1
20_52817810_52817810	20	52817810	52817810	0	1
21_41206052_41208874	21	41206052	41208874	2822	11
