               region      gene  nSNP  nInVCF pop  minR2  meanR2 >=0.8?
 21_41205924_41208874     HMGN1    12      12 AFR  1.000   1.000    yes
 21_41205924_41208874     HMGN1    12      12 EUR  0.879   0.963    yes
 21_41205924_41208874     HMGN1    12      12 YRI  1.000   1.000    yes
    5_8017470_8024003      MTRR    11      11 AFR  0.858   0.968    yes
    5_8017470_8024003      MTRR    11      11 EUR  0.853   0.957    yes
    5_8017470_8024003      MTRR    11      11 YRI  0.749   0.946     NO
4_144655489_144662054      GYPB     8       8 AFR  0.992   0.997    yes
4_144655489_144662054      GYPB     8       8 EUR  0.982   0.993    yes
4_144655489_144662054      GYPB     8       8 YRI  0.978   0.994    yes
4_115378668_115379737      UGT8     7       7 AFR  0.982   0.990    yes
4_115378668_115379737      UGT8     7       7 EUR  0.992   0.998    yes
4_115378668_115379737      UGT8     7       7 YRI  1.000   1.000    yes
  4_57918296_57919705    IGFBP7     6       6 AFR  0.024   0.477     NO
  4_57918296_57919705    IGFBP7     6       6 EUR  0.003   0.466     NO
  4_57918296_57919705    IGFBP7     6       6 YRI  0.038   0.483     NO
  4_71210148_71210970      MUC7     5       5 AFR  0.987   0.992    yes
  4_71210148_71210970      MUC7     5       5 EUR  0.992   0.995    yes
  4_71210148_71210970      MUC7     5       5 YRI  1.000   1.000    yes
    2_1138967_1139647    SH3YL1     4       4 AFR  0.985   0.992    yes
    2_1138967_1139647    SH3YL1     4       4 EUR  0.982   0.991    yes
    2_1138967_1139647    SH3YL1     4       4 YRI  1.000   1.000    yes
  4_56144663_56147967    SRD5A3     3       3 AFR  0.966   0.977    yes
  4_56144663_56147967    SRD5A3     3       3 EUR  0.955   0.970    yes
  4_56144663_56147967    SRD5A3     3       3 YRI  0.944   0.963    yes
2_237968214_237968421     COPS8     3       3 AFR  1.000   1.000    yes
2_237968214_237968421     COPS8     3       3 EUR  1.000   1.000    yes
2_237968214_237968421     COPS8     3       3 YRI  1.000   1.000    yes
1_106125135_106131147 LINC01676     3       3 AFR  0.808   0.872    yes
1_106125135_106131147 LINC01676     3       3 EUR  0.579   0.718     NO
1_106125135_106131147 LINC01676     3       3 YRI  0.908   0.938    yes
 11_24791431_24792057     LUZP2     3       3 AFR  0.929   0.953    yes
 11_24791431_24792057     LUZP2     3       3 EUR  0.955   0.970    yes
 11_24791431_24792057     LUZP2     3       3 YRI  0.912   0.942    yes
  5_29637400_29637695      CDH6     2       2 AFR  0.985   0.985    yes
  5_29637400_29637695      CDH6     2       2 EUR  1.000   1.000    yes
  5_29637400_29637695      CDH6     2       2 YRI  1.000   1.000    yes
  5_16919819_16919992     MYO10     2       2 AFR  0.986   0.986    yes
  5_16919819_16919992     MYO10     2       2 EUR  1.000   1.000    yes
  5_16919819_16919992     MYO10     2       2 YRI  1.000   1.000    yes
 10_67278595_67279509    CTNNA3     2       2 AFR  1.000   1.000    yes
 10_67278595_67279509    CTNNA3     2       2 EUR  1.000   1.000    yes
 10_67278595_67279509    CTNNA3     2       2 YRI  1.000   1.000    yes
 10_25593349_25593541    GPR158     2       2 AFR  0.994   0.994    yes
 10_25593349_25593541    GPR158     2       2 EUR  1.000   1.000    yes
 10_25593349_25593541    GPR158     2       2 YRI  1.000   1.000    yes
