region	chrom	start	end	span_bp	n_tsps
1_4917460_4917460	1	4917460	4917460	0	1
1_5348639_5348639	1	5348639	5348639	0	1
1_106125135_106131147	1	106125135	106131147	6012	3
1_116732423_116732423	1	116732423	116732423	0	1
1_246380688_246380688	1	246380688	246380688	0	1
1_247627001_247627001	1	247627001	247627001	0	1
2_1138967_1139647	2	1138967	1139647	680	4
2_35952400_35952400	2	35952400	35952400	0	1
2_42237228_42237228	2	42237228	42237228	0	1
2_129359232_129359232	2	129359232	129359232	0	1
2_224638996_224638996	2	224638996	224638996	0	1
2_224887004_224887004	2	224887004	224887004	0	1
2_237968214_237968421	2	237968214	237968421	207	3
3_145043291_145043291	3	145043291	145043291	0	1
4_12087957_12087957	4	12087957	12087957	0	1
4_32646855_32646855	4	32646855	32646855	0	1
4_56144663_56147967	4	56144663	56147967	3304	3
4_57698600_57698600	4	57698600	57698600	0	1
4_57918296_57919705	4	57918296	57919705	1409	6
4_58495926_58495926	4	58495926	58495926	0	1
4_58570867_58570867	4	58570867	58570867	0	1
4_71210148_71210970	4	71210148	71210970	822	5
4_71386175_71386175	4	71386175	71386175	0	1
4_115378668_115379737	4	115378668	115379737	1069	7
4_141921518_141921518	4	141921518	141921518	0	1
4_144655489_144662054	4	144655489	144662054	6565	8
4_162038353_162038353	4	162038353	162038353	0	1
4_165753488_165753488	4	165753488	165753488	0	1
4_172136342_172136342	4	172136342	172136342	0	1
4_180069715_180069715	4	180069715	180069715	0	1
5_8017470_8024003	5	8017470	8024003	6533	11
5_16919819_16919992	5	16919819	16919992	173	2
5_29637400_29637695	5	29637400	29637695	295	2
6_166673913_166673913	6	166673913	166673913	0	1
7_36547245_36547245	7	36547245	36547245	0	1
8_21455324_21455324	8	21455324	21455324	0	1
8_54528520_54528520	8	54528520	54528520	0	1
8_74978724_74978724	8	74978724	74978724	0	1
9_7215204_7215204	9	7215204	7215204	0	1
10_25593349_25593541	10	25593349	25593541	192	2
10_26184344_26184344	10	26184344	26184344	0	1
10_59743375_59743375	10	59743375	59743375	0	1
10_62623360_62623360	10	62623360	62623360	0	1
10_67278595_67279509	10	67278595	67279509	914	2
10_132883127_132883127	10	132883127	132883127	0	1
11_5373738_5373738	11	5373738	5373738	0	1
11_24791431_24792057	11	24791431	24792057	626	3
11_133338872_133338872	11	133338872	133338872	0	1
13_37973335_37973335	13	37973335	37973335	0	1
13_59433547_59433547	13	59433547	59433547	0	1
13_74300726_74300726	13	74300726	74300726	0	1
14_22758552_22758552	14	22758552	22758552	0	1
14_89538401_89538401	14	89538401	89538401	0	1
15_54984861_54984861	15	54984861	54984861	0	1
16_5605114_5605114	16	5605114	5605114	0	1
17_58829124_58829124	17	58829124	58829124	0	1
17_70908606_70908606	17	70908606	70908606	0	1
20_52817810_52817810	20	52817810	52817810	0	1
21_41205924_41208874	21	41205924	41208874	2950	12
