chrom	start	end	set	tf	pop
1	2916088	2919088	SIGNIF	0.5	LWK
1	4459620	4462620	SIGNIF	0.5	LWK
1	4596120	4599120	SIGNIF	0.5	LWK
1	4597620	4600620	SIGNIF	0.5	LWK
1	5305620	5308620	SIGNIF	0.5	LWK
1	7960702	7963702	SIGNIF	0.5	LWK
1	9093202	9096202	SIGNIF	0.5	LWK
1	14424088	14427088	SIGNIF	0.5	LWK
1	14457088	14460088	SIGNIF	0.5	LWK
1	14478088	14481088	SIGNIF	0.5	LWK
1	15280588	15283588	SIGNIF	0.5	LWK
1	15456088	15459088	SIGNIF	0.5	LWK
1	15510088	15513088	SIGNIF	0.5	LWK
1	15511588	15514588	SIGNIF	0.5	LWK
1	15553588	15556588	SIGNIF	0.5	LWK
1	15555088	15558088	SIGNIF	0.5	LWK
1	16150605	16153605	SIGNIF	0.5	LWK
1	16374105	16377105	SIGNIF	0.5	LWK
1	16380105	16383105	SIGNIF	0.5	LWK
1	17400105	17403105	SIGNIF	0.5	LWK
1	17401605	17404605	SIGNIF	0.5	LWK
1	17421105	17424105	SIGNIF	0.5	LWK
1	17649105	17652105	SIGNIF	0.5	LWK
1	17716605	17719605	SIGNIF	0.5	LWK
1	17718105	17721105	SIGNIF	0.5	LWK
1	17719605	17722605	SIGNIF	0.5	LWK
1	18123105	18126105	SIGNIF	0.5	LWK
1	18829605	18832605	SIGNIF	0.5	LWK
1	19173124	19176124	SIGNIF	0.5	LWK
1	19200124	19203124	SIGNIF	0.5	LWK
1	19936624	19939624	SIGNIF	0.5	LWK
1	20944624	20947624	SIGNIF	0.5	LWK
1	22305108	22308108	SIGNIF	0.5	LWK
1	24198108	24201108	SIGNIF	0.5	LWK
1	24199608	24202608	SIGNIF	0.5	LWK
1	24207108	24210108	SIGNIF	0.5	LWK
1	24930282	24933282	SIGNIF	0.5	LWK
1	25182282	25185282	SIGNIF	0.5	LWK
1	25183782	25186782	SIGNIF	0.5	LWK
1	26167782	26170782	SIGNIF	0.5	LWK
1	29802214	29805214	SIGNIF	0.5	LWK
1	30520714	30523714	SIGNIF	0.5	LWK
1	30738214	30741214	SIGNIF	0.5	LWK
1	30862585	30865585	SIGNIF	0.5	LWK
1	30990085	30993085	SIGNIF	0.5	LWK
1	31671085	31674085	SIGNIF	0.5	LWK
1	34039916	34042916	SIGNIF	0.5	LWK
1	34654916	34657916	SIGNIF	0.5	LWK
1	34656416	34659416	SIGNIF	0.5	LWK
1	40153593	40156593	SIGNIF	0.5	LWK
1	54156261	54159261	SIGNIF	0.5	LWK
1	55518112	55521112	SIGNIF	0.5	LWK
1	57067612	57070612	SIGNIF	0.5	LWK
1	57069112	57072112	SIGNIF	0.5	LWK
1	57445612	57448612	SIGNIF	0.5	LWK
1	58525753	58528753	SIGNIF	0.5	LWK
1	59020753	59023753	SIGNIF	0.5	LWK
1	59464753	59467753	SIGNIF	0.5	LWK
1	59466253	59469253	SIGNIF	0.5	LWK
1	63412791	63415791	SIGNIF	0.5	LWK
1	64660935	64663935	SIGNIF	0.5	LWK
1	66124935	66127935	SIGNIF	0.5	LWK
1	66126435	66129435	SIGNIF	0.5	LWK
1	66127935	66130935	SIGNIF	0.5	LWK
1	66132435	66135435	SIGNIF	0.5	LWK
1	68871088	68874088	SIGNIF	0.5	LWK
1	70582095	70585095	SIGNIF	0.5	LWK
1	70975095	70978095	SIGNIF	0.5	LWK
1	71011095	71014095	SIGNIF	0.5	LWK
1	71152095	71155095	SIGNIF	0.5	LWK
1	73851108	73854108	SIGNIF	0.5	LWK
1	73855608	73858608	SIGNIF	0.5	LWK
1	76747933	76750933	SIGNIF	0.5	LWK
1	77104933	77107933	SIGNIF	0.5	LWK
1	77106433	77109433	SIGNIF	0.5	LWK
1	77107933	77110933	SIGNIF	0.5	LWK
