region	gene	n_tsps	span_bp	span_cM	mean_rate_cM_Mb	span_cM_OMNI
1_4917460_4917460	AJAP1	1	0	0.0		0.0
1_5348639_5348639	AJAP1	1	0	0.0		0.0
1_106125135_106131147	LINC01676	3	6012	0.003899456934306045	0.6486122645219635	0.003120921000004273
1_116732423_116732423	MAB21L3	1	0	0.0		0.0
1_246380688_246380688	SMYD3	1	0	0.0		0.0
1_247627001_247627001	AHCTF1	1	0	0.0		0.0
2_1138967_1139647	SH3YL1	4	680	0.0014337131147541538	2.1084016393443434	0.0009895528576766566
2_35952400_35952400	CRIM1	1	0	0.0		0.0
2_42237228_42237228	PKDCC	1	0	0.0		0.0
2_129359232_129359232	HS6ST1	1	0	0.0		0.0
2_224638996_224638996	AP1S3	1	0	0.0		0.0
2_224887004_224887004	SERPINE2	1	0	0.0		0.0
2_237968214_237968421	COPS8	3	207	5.768253964788528e-05	0.2786596118255328	6.551399999921159e-05
3_145043291_145043291	PLOD2	1	0	0.0		0.0
4_12087957_12087957	HS3ST1	1	0	0.0		0.0
4_32646855_32646855	PCDH7	1	0	0.0		0.0
4_56144663_56147967	SRD5A3	3	3304	0.000667291579702578	0.2019647638324994	0.0005990128000092909
4_57698600_57698600	SPINK2	1	0	0.0		0.0
4_57918296_57919705	IGFBP7	6	1409	0.003839682520037968	2.725111795626663	0.005782739000011361
4_58495926_58495926	IGFBP7	1	0	0.0		0.0
4_58570867_58570867	IGFBP7	1	0	0.0		0.0
4_71210148_71210970	MUC7	5	822	0.0002216014429734514	0.26958813013801874	0.00017633679999562446
4_71386175_71386175	MUC7	1	0	0.0		0.0
4_115378668_115379737	UGT8	7	1069	2.1279569907051155e-05	0.01990605229845758	0.0002690949999930581
4_141921518_141921518	RNF150	1	0	0.0		0.0
4_144655489_144662054	GYPB	8	6565	0.0022428258213551544	0.34163378847755593	0.0007390190000080565
4_162038353_162038353	FSTL5	1	0	0.0		0.0
4_165753488_165753488	MARCHF1	1	0	0.0		0.0
4_172136342_172136342	GALNTL6	1	0	0.0		0.0
4_180069715_180069715	AGA	1	0	0.0		0.0
5_8017470_8024003	MTRR	11	6533	0.0032513506493501154	0.49768110352825895	0.0019374698000014234
5_16919819_16919992	MYO10	2	173	0.0001332379032277231	0.7701612903336595	0.00012078059999964808
5_29637400_29637695	CDH6	2	295	0.0002207056074752245	0.7481546016109305	1.6039199998374443e-05
6_166673913_166673913	MPC1	1	0	0.0		0.0
7_36547245_36547245	AOAH	1	0	0.0		0.0
8_21455324_21455324	GFRA2	1	0	0.0		0.0
8_54528520_54528520	ATP6V1H	1	0	0.0		0.0
8_74978724_74978724	LY96	1	0	0.0		0.0
9_7215204_7215204	KDM4C	1	0	0.0		0.0
10_25593349_25593541	GPR158	2	192	0.00010082598608107673	0.5251353441722747	4.031099997803267e-06
10_26184344_26184344	MYO3A	1	0	0.0		0.0
10_59743375_59743375	IPMK	1	0	0.0		0.0
10_62623360_62623360	RHOBTB1	1	0	0.0		0.0
10_67278595_67279509	CTNNA3	2	914	6.423049825343696e-07	0.0007027406811098136	5.0627700005634324e-05
10_132883127_132883127	TCERG1L	1	0	0.0		0.0
11_5373738_5373738	OR51E2	1	0	0.0		0.0
11_24791431_24792057	LUZP2	3	626	8.73766546050092e-06	0.013957932045528627	0.0012442722999992384
11_133338872_133338872	OPCML	1	0	0.0		0.0
13_37973335_37973335	POSTN	1	0	0.0		0.0
13_59433547_59433547	DIAPH3	1	0	0.0		0.0
13_74300726_74300726	KLF12	1	0	0.0		0.0
14_22758552_22758552	OXA1L	1	0	0.0		0.0
14_89538401_89538401	FOXN3	1	0	0.0		0.0
15_54984861_54984861	UNC13C	1	0	0.0		0.0
16_5605114_5605114	RBFOX1	1	0	0.0		0.0
17_58829124_58829124	BCAS3	1	0	0.0		0.0
17_70908606_70908606	SLC39A11	1	0	0.0		0.0
20_52817810_52817810	PFDN4	1	0	0.0		0.0
21_41205924_41208874	HMGN1	12	2950	0.0007204115757204477	0.24420731380354158	0.00030670119999598455
