Rank,Gene name,Chromosome,T2
1,HLA-DPB1,6,405.3
2,HLA-DPA1,6,363.5
3,SLC2A9,4,350.0
4,FANK1,10,330.0
5,CPE,4,317.9
6,HLA-C,6,317.7
7,DMBT1,10,312.2
8,HLA-A,6,309.6
9,ARPC5,1,297.8
10,CCDC169,13,286.0
11,CCDC169-SOHLH2,13,286.0
12,LGALS8,1,277.0
13,APBB1IP,10,274.0
14,RGL1,1,268.4
15,TEKT4,2,261.8
16,STK32A,5,259.2
17,CEP112,17,257.7
18,CPNE4,3,253.0
19,RNF144B,6,252.0
20,C4orf37,4,245.2
21,MLF1IP,4,244.1
22,HLA-B,6,237.0
23,RGS6,14,236.1
24,ARHGAP42,11,234.8
25,POLN,4,233.4
26,SLC15A2,3,232.8
27,KALRN,3,227.2
28,FOPNL,16,227.1
29,KIAA1267,17,226.7
30,ZNF568,19,226.4
31,HEATR1,1,225.7
32,KIAA1324L,7,223.4
33,MSH3,5,222.5
34,FRAS1,4,221.2
35,EMR1,19,221.1
36,GRIN2A,16,220.1
37,BNC2,9,220.1
38,HLA-DQA1,6,220.1
39,KDM4C,9,217.8
40,AXDND1,1,217.1
41,MYRIP,3,215.8
42,SPEF2,5,214.2
43,PLCB4,20,212.3
44,SLC38A9,5,210.2
45,ART3,4,209.3
46,CTNNA3,10,208.3
47,ERAP1,5,207.6
48,HLA-DQB1,6,206.8
49,EMID2,7,206.1
50,ADCY5,3,205.4
51,WFDC8,20,204.2
52,USP20,9,203.7
53,CCDC146,7,201.5
54,HLA-DRB1,6,197.9
55,POLR1E,9,197.1
56,ADH4,4,196.5
57,OR5W2,11,195.8
58,ASB18,2,195.0
59,BICC1,10,194.3
60,SH3RF3,2,192.6
61,BMPR1B,4,192.1
62,NUP88,17,190.9
63,ADAMTS12,5,190.1
64,ADH1C,4,188.7
65,APOBEC4,1,187.8
66,SNX31,8,187.5
67,SGCZ,8,187.1
68,PANK1,10,187.0
69,ANK3,10,186.9
70,PKD1L1,7,186.8
71,ZNF717,3,186.5
72,KLHL14,18,184.2
73,FXN,9,184.0
74,MAPT,17,182.6
75,TYW1,7,182.0
76,BCAS1,20,180.4
77,NTN4,12,179.8
78,THSD7B,2,177.7
79,COL5A2,2,177.6
80,LRP1B,2,175.6
81,SNX19,11,175.4
82,OR4C3,11,174.7
83,KRT83,12,173.5
84,LRRC16A,6,171.5
85,C18orf1,18,170.3
86,HLA-DRA,6,169.8
87,PTPN14,1,169.5
88,CNBD1,8,167.1
89,GPC5,13,166.6
90,MAP2K3,17,164.6
91,CSMD1,8,164.5
92,CADM2,3,162.8
93,MYO1B,2,162.6
94,MYLK4,6,162.0
95,OR5I1,11,162.0
96,FHIT,3,161.9
97,CUBN,10,161.8
98,ULK4,3,161.8
99,ASTN2,9,161.6
100,PGLYRP4,1,161.3
