Rank,Gene name,Chromosome,T2
1,CPE,4,311.9
2,HLA-DPA1,6,298.7
3,HLA-DPB1,6,290.9
4,FANK1,10,283.6
5,TEKT4,2,277.2
6,KIAA1324L,7,273.7
7,MYOM2,8,271.1
8,ZNF568,19,266.8
9,C1orf130,1,265.2
10,ARPC5,1,256.7
11,MSH3,5,256.6
12,SH3RF3,2,256.6
13,DMBT1,10,253.8
14,BNC2,9,253.2
15,PKD1L1,7,247.7
16,USP20,9,240.8
17,C4orf37,4,239.5
18,APBB1IP,10,236.4
19,STK32B,4,233.7
20,SLC15A2,3,233.1
21,PACRG,6,231.9
22,WFDC8,20,231.4
23,RGL1,1,230.9
24,MLF1IP,4,228.9
25,POLN,4,223.2
26,SLC2A9,4,221.1
27,SPEF2,5,220.0
28,FRMD4B,3,215.6
29,MLL3,7,215.0
30,PGLYRP4,1,211.2
31,LGALS8,1,209.4
32,ART3,4,205.9
33,RCAN1,21,204.0
34,ARHGAP24,4,203.5
35,RNF144B,6,203.3
36,CEP112,17,201.9
37,HLA-DRB5,6,199.9
38,CCDC169,13,198.9
39,CCDC169-SOHLH2,13,198.9
40,C18orf1,18,198.9
41,STK32A,5,196.7
42,SPATA16,3,194.1
43,LRRC16A,6,192.5
44,HLA-C,6,192.2
45,HLA-DQB1,6,191.9
46,SNX19,11,187.7
47,CHRNB3,8,187.5
48,CCDC146,7,186.5
49,WDR75,2,186.1
50,MYO5B,18,186.0
51,HPSE2,10,185.0
52,IGSF5,21,184.3
53,CASQ2,1,183.6
54,MYRIP,3,183.1
55,FRG2C,3,182.8
56,APOBEC4,1,181.1
57,NTN4,12,178.9
58,ALG8,11,178.4
59,ESYT2,7,177.1
60,ATP8A2,13,175.5
61,RFX8,2,175.4
62,ULK4,3,174.6
63,AXDND1,1,174.3
64,EMID2,7,170.6
65,SMYD3,1,169.5
66,HLA-B,6,167.9
67,VRK3,19,167.5
68,ARHGAP42,11,167.4
69,RBFOX1,16,167.1
70,C15orf48,15,166.8
71,GBA3,4,166.8
72,KLHL14,18,163.7
73,BICC1,10,163.7
74,SNX31,8,163.5
75,WWTR1,3,163.5
76,KIAA0748,12,163.5
77,ASTN2,9,162.5
78,ANK3,10,162.4
79,PGBD5,1,162.3
80,SLC38A9,5,161.0
81,SLCO1B3,12,160.3
82,DGKI,7,159.8
83,RAMP3,7,157.5
84,LAMA2,6,157.2
85,HLA-A,6,156.8
86,ACBD5,10,155.8
87,MYLK4,6,155.5
88,DHX37,12,154.6
89,EMR1,19,154.2
90,RYR2,1,152.8
91,BCKDHB,6,150.8
92,C16orf73,16,150.7
93,FAHD1,16,150.7
94,RCBTB1,13,150.6
95,RGS6,14,148.8
96,ACSBG2,19,148.5
97,SWAP70,11,148.0
98,ABCD4,14,147.7
99,PTPRB,12,147.7
100,PTPN14,1,146.1
