region	chrom	start	end	span_bp	n_tsps	min_support	max_support	orig_regions
1_4917460_4921516	1	4917460	4921516	4056	2	88	88	1_4346288_5598914
1_106125135_106129589	1	106125135	106129589	4454	2	81	95	1_105875135_106381147
1_116732423_116732423	1	116732423	116732423	0	1	88	88	1_116482423_116991307
1_246380688_246380688	1	246380688	246380688	0	1	89	89	1_246130688_246660558
1_246405817_246405817	1	246405817	246405817	0	1	87	87	1_246130688_246660558
1_247627001_247627001	1	247627001	247627001	0	1	92	92	1_247377001_247878307
2_1138967_1139647	2	1138967	1139647	680	4	83	89	2_610448_2094058
2_14239418_14239418	2	14239418	14239418	0	1	81	81	2_13989328_14489418
2_35952400_35952400	2	35952400	35952400	0	1	89	89	2_35494203_36202400
2_129359232_129359232	2	129359232	129359232	0	1	94	94	2_129109232_129609232
2_224638996_224638996	2	224638996	224638996	0	1	97	97	2_224388996_225137004
2_224887004_224887004	2	224887004	224887004	0	1	92	92	2_224388996_225137004
2_237968214_237968421	2	237968214	237968421	207	3	83	85	2_237515359_238218421
3_122302254_122302254	3	122302254	122302254	0	1	86	86	3_122052254_122552254
3_145043291_145043291	3	145043291	145043291	0	1	94	94	3_144793291_145293291
4_32646855_32646855	4	32646855	32646855	0	1	90	90	4_31950878_32896855
4_56144663_56147967	4	56144663	56147967	3304	3	94	96	4_55787628_56397967
4_57698600_57698600	4	57698600	57698600	0	1	91	91	4_57448600_59529374
4_57918296_57919705	4	57918296	57919705	1409	5	83	100	4_57448600_59529374
4_58495926_58495926	4	58495926	58495926	0	1	81	81	4_57448600_59529374
4_58570867_58570867	4	58570867	58570867	0	1	81	81	4_57448600_59529374
4_71210148_71210336	4	71210148	71210336	188	4	87	96	4_70860866_71636175
4_71386175_71386175	4	71386175	71386175	0	1	97	97	4_70860866_71636175
4_115378668_115379737	4	115378668	115379737	1069	7	98	100	4_115128668_115634571
4_144655489_144659625	4	144655489	144659625	4136	8	81	100	4_144248455_145168152
4_166453971_166453971	4	166453971	166453971	0	1	83	83	4_166100327_166990488
4_172136342_172136342	4	172136342	172136342	0	1	83	83	4_171886342_172386342
4_180069715_180069715	4	180069715	180069715	0	1	100	100	4_179819715_180319715
5_2352340_2352340	5	2352340	2352340	0	1	84	84	5_2002174_2602340
5_8017470_8024003	5	8017470	8024003	6533	17	82	100	5_7767470_8274003
5_16919819_16919992	5	16919819	16919992	173	2	98	98	5_16399258_17441835
5_29637400_29637695	5	29637400	29637695	295	2	88	94	5_29387400_29887695
5_128282115_128282115	5	128282115	128282115	0	1	87	87	5_128032115_128820664
6_39240639_39240639	6	39240639	39240639	0	1	84	84	6_38990639_39490639
6_166673913_166673913	6	166673913	166673913	0	1	93	93	6_166423913_166923913
7_19817016_19817016	7	19817016	19817016	0	1	84	84	7_19376523_20162040
7_19912040_19912040	7	19912040	19912040	0	1	82	82	7_19376523_20162040
7_36547245_36547245	7	36547245	36547245	0	1	89	89	7_36296976_36797245
8_3139964_3139964	8	3139964	3139964	0	1	86	86	8_2889964_3389964
8_21455324_21455324	8	21455324	21455324	0	1	88	88	8_21205324_21705324
8_54528520_54528520	8	54528520	54528520	0	1	92	92	8_54278520_54829588
8_74978724_74978724	8	74978724	74978724	0	1	90	90	8_74728724_75228724
9_7215204_7215204	9	7215204	7215204	0	1	93	93	9_6965204_7465204
10_25593349_25593541	10	25593349	25593541	192	2	93	100	10_25343349_25898263
10_26184344_26184344	10	26184344	26184344	0	1	87	87	10_25934344_26594103
10_29841407_29841407	10	29841407	29841407	0	1	87	87	10_29591407_30091440
10_59743375_59744002	10	59743375	59744002	627	2	83	85	10_59045237_60529701
10_62623360_62623360	10	62623360	62623360	0	1	88	88	10_62373360_62873360
10_67278595_67279509	10	67278595	67279509	914	2	88	98	10_67028595_67529509
10_127116552_127116552	10	127116552	127116552	0	1	91	91	10_126866552_127948161
11_5373738_5373738	11	5373738	5373738	0	1	99	99	11_4541934_5681041
11_5425847_5425847	11	5425847	5425847	0	1	86	86	11_4541934_5681041
11_24791431_24792057	11	24791431	24792057	626	3	85	95	11_24541431_25044582
11_133338872_133338872	11	133338872	133338872	0	1	99	99	11_133088872_133588872
13_37973335_37973335	13	37973335	37973335	0	1	93	93	13_37720955_38223335
13_59433547_59433547	13	59433547	59433547	0	1	89	89	13_59183547_59700873
13_60014076_60014076	13	60014076	60014076	0	1	95	95	13_59764052_60264076
13_74300726_74300726	13	74300726	74300726	0	1	81	81	13_74050726_74550726
14_22758552_22758552	14	22758552	22758552	0	1	88	88	14_22508552_23352439
14_89538401_89539744	14	89538401	89539744	1343	2	89	95	14_89288401_89789744
15_54984861_54984861	15	54984861	54984861	0	1	100	100	15_54734861_55234861
16_5605114_5605114	16	5605114	5605114	0	1	87	87	16_5354096_5855114
16_78487452_78487452	16	78487452	78487452	0	1	91	91	16_78126201_78738838
16_87207621_87207621	16	87207621	87207621	0	1	94	94	16_86957621_87917136
17_70908606_70908606	17	70908606	70908606	0	1	86	86	17_70658606_71158780
18_66038094_66038094	18	66038094	66038094	0	1	87	87	18_65788094_66288094
19_29313677_29313677	19	29313677	29313677	0	1	82	82	19_29063677_29563677
20_52817810_52817810	20	52817810	52817810	0	1	90	90	20_52495040_53067810
21_41206052_41208874	21	41206052	41208874	2822	11	82	100	21_40882612_41458874
22_17905851_17905851	22	17905851	17905851	0	1	82	82	22_17655851_18155851
