panel	tsp	archaic	R2
AFR	71210148	71337964	0.00443638
AFR	71210148	71338220	0.00443638
AFR	71210148	71338575	0.00443638
AFR	71210148	71338699	0.00443638
AFR	71210148	71338723	0.00443638
AFR	71210148	71338887	0.00443638
AFR	71210148	71339181	0.00443638
AFR	71210148	71339362	0.00443638
AFR	71210148	71339363	0.00443638
AFR	71210148	71340686	0.00443638
AFR	71210148	71340693	0.00443638
AFR	71210148	71341033	0.00443638
AFR	71210148	71341779	0.00443638
AFR	71210148	71341807	0.00443638
AFR	71210148	71341817	0.00244906
AFR	71210148	71341824	0.00443638
AFR	71210148	71342015	0.00443638
AFR	71210148	71342387	0.00443638
AFR	71210148	71342517	0.00443638
AFR	71210148	71343160	0.00576191
AFR	71210148	71343178	0.00576191
AFR	71210148	71343313	0.00576191
AFR	71210148	71343365	0.0209069
AFR	71210148	71343544	0.00576191
AFR	71210148	71344199	0.00668824
AFR	71210148	71344315	0.00668824
AFR	71210148	71344338	0.00668824
AFR	71210148	71345502	0.00668824
AFR	71210148	71345652	0.00668824
AFR	71210148	71345730	0.00668824
AFR	71210148	71345828	0.00668824
AFR	71210148	71345869	0.00668824
AFR	71210148	71345904	0.00668824
AFR	71210148	71346012	0.00668824
AFR	71210148	71346336	0.0209069
AFR	71210148	71346542	0.00668824
AFR	71210148	71346966	0.00785157
AFR	71210148	71346987	0.00785157
AFR	71210148	71347346	0.00668824
AFR	71210148	71347353	0.00668824
AFR	71210148	71347577	0.00668824
AFR	71210148	71347608	0.00668824
AFR	71210148	71347660	0.00668824
AFR	71210148	71348157	0.00668824
AFR	71210198	71337964	0.00443638
AFR	71210198	71338220	0.00443638
AFR	71210198	71338575	0.00443638
AFR	71210198	71338699	0.00443638
AFR	71210198	71338723	0.00443638
AFR	71210198	71338887	0.00443638
AFR	71210198	71339181	0.00443638
AFR	71210198	71339362	0.00443638
AFR	71210198	71339363	0.00443638
AFR	71210198	71340686	0.00443638
AFR	71210198	71340693	0.00443638
AFR	71210198	71341033	0.00443638
AFR	71210198	71341779	0.00443638
AFR	71210198	71341807	0.00443638
AFR	71210198	71341817	0.00244906
AFR	71210198	71341824	0.00443638
AFR	71210198	71342015	0.00443638
AFR	71210198	71342387	0.00443638
AFR	71210198	71342517	0.00443638
AFR	71210198	71343160	0.00576191
AFR	71210198	71343178	0.00576191
AFR	71210198	71343313	0.00576191
AFR	71210198	71343365	0.0209069
AFR	71210198	71343544	0.00576191
AFR	71210198	71344199	0.00668824
AFR	71210198	71344315	0.00668824
AFR	71210198	71344338	0.00668824
AFR	71210198	71345502	0.00668824
AFR	71210198	71345652	0.00668824
AFR	71210198	71345730	0.00668824
AFR	71210198	71345828	0.00668824
AFR	71210198	71345869	0.00668824
AFR	71210198	71345904	0.00668824
AFR	71210198	71346012	0.00668824
AFR	71210198	71346336	0.0209069
AFR	71210198	71346542	0.00668824
AFR	71210198	71346966	0.00785157
AFR	71210198	71346987	0.00785157
AFR	71210198	71347346	0.00668824
AFR	71210198	71347353	0.00668824
AFR	71210198	71347577	0.00668824
AFR	71210198	71347608	0.00668824
AFR	71210198	71347660	0.00668824
AFR	71210198	71348157	0.00668824
AFR	71210321	71337964	0.00366736
AFR	71210321	71338220	0.00366736
AFR	71210321	71338575	0.00366736
AFR	71210321	71338699	0.00366736
AFR	71210321	71338723	0.00366736
AFR	71210321	71338887	0.00366736
AFR	71210321	71339181	0.00366736
AFR	71210321	71339362	0.00366736
AFR	71210321	71339363	0.00366736
