region	chrom	start	end	n_snps	mean_bmap	assigned_gene	assignment_tier	assignment_evidence	nearest_gene	nearest_distance	n_molqtl_genes	molqtl_multiplicity	l2g_genes
1_4917460_4921516	1	4917460	4921516	2	959.0	AJAP1	nearest	closest|dist=64866bp	AJAP1	64866	0		
1_106125135_106129589	1	106125135	106129589	2	922.0	PRMT6	nearest	closest|dist=1469708bp	PRMT6	1469708	0		
1_116732423_116732423	1	116732423	116732423	1	896.0	MAB21L3	nearest	closest|dist=51652bp	MAB21L3	51652	0		
1_246380688_246380688	1	246380688	246380688	1	807.0	SMYD3	nearest	closest|dist=0bp	SMYD3	0	0		
1_246405817_246405817	1	246405817	246405817	1	803.0	SMYD3	molqtl	sets=1,tissues=1,mods=sceqtl	SMYD3	0	1	SMYD3|sets=1|tissues=1|mods=sceqtl	
1_247627001_247627001	1	247627001	247627001	1	892.0	AHCTF1	molqtl	sets=1,tissues=1,mods=sqtl	OR2B11	5594	1	AHCTF1|sets=1|tissues=1|mods=sqtl	OR2B11(0.38)
10_25593349_25593541	10	25593349	25593541	2	896.5	GPR158	nearest	closest|dist=0bp	GPR158	0	0		
10_26184344_26184344	10	26184344	26184344	1	785.0	MYO3A	nearest	closest|dist=38800bp	MYO3A	38800	0		
10_29841407_29841407	10	29841407	29841407	1	919.0	SVIL	molqtl	sets=1,tissues=1,mods=eqtl	SVIL	0	1	SVIL|sets=1|tissues=1|mods=eqtl	
10_62623360_62623360	10	62623360	62623360	1	873.0	RHOBTB1	molqtl	sets=1,tissues=1,mods=sqtl	RHOBTB1	5837	1	RHOBTB1|sets=1|tissues=1|mods=sqtl	
10_67278595_67279509	10	67278595	67279509	2	871.5	CTNNA3	l2g	L2G=0.57	CTNNA3	392707	0		CTNNA3(0.57)
10_127116552_127116552	10	127116552	127116552	1	911.0	FANK1	molqtl	sets=1,tissues=1,mods=eqtl	TEX36	148540	2	UROS|sets=1|tissues=1|mods=eqtl;FANK1|sets=1|tissues=1|mods=eqtl	
11_5373738_5373738	11	5373738	5373738	1	905.0	OR51E2	molqtl	sets=1,tissues=1,mods=sqtl	HBG2	0	1	OR51E2|sets=1|tissues=1|mods=sqtl	
11_5425847_5425847	11	5425847	5425847	1	893.0	HBG2	nearest	closest|dist=0bp	HBG2	0	0		
11_24791431_24792057	11	24791431	24792057	3	983.0	LUZP2	nearest	closest|dist=0bp	LUZP2	0	0		
11_133338872_133338872	11	133338872	133338872	1	865.0	OPCML	l2g	L2G=0.83	OPCML	0	0		OPCML(0.83),IGSF9B(0.06)
13_37973335_37973335	13	37973335	37973335	1	940.0	POSTN	nearest	closest|dist=163385bp	POSTN	163385	0		
13_59433547_59433547	13	59433547	59433547	1	704.0	DIAPH3	nearest	closest|dist=806171bp	DIAPH3	806171	0		
13_60014076_60014076	13	60014076	60014076	1	688.0	DIAPH3	nearest	closest|dist=225642bp	DIAPH3	225642	0		DIAPH3(0.47)
13_74300726_74300726	13	74300726	74300726	1	856.0	KLF12	l2g	L2G=0.67	KLF12	0	1	KLF5|sets=1|tissues=1|mods=eqtl	KLF12(0.67)
14_89538401_89539744	14	89538401	89539744	2	915.0	FOXN3	nearest	closest|dist=51472bp	FOXN3	51472	0		
15_54984861_54984861	15	54984861	54984861	1	906.0	UNC13C	nearest	closest|dist=63956bp	UNC13C	63956	0		
16_5605114_5605114	16	5605114	5605114	1	974.0	RBFOX1	l2g	L2G=0.53	RBFOX1	0	0		RBFOX1(0.53)
16_78487452_78487452	16	78487452	78487452	1	888.0	WWOX	nearest	closest|dist=0bp	WWOX	0	0		
17_70908606_70908606	17	70908606	70908606	1	985.0	SLC39A11	nearest	closest|dist=0bp	SLC39A11	0	0		
18_66038094_66038094	18	66038094	66038094	1	946.0	TMX3	nearest	closest|dist=302832bp	TMX3	302832	0		
19_29313677_29313677	19	29313677	29313677	1	838.0	UQCRFS1	l2g	L2G=0.56	UQCRFS1	382551	0		UQCRFS1(0.56)
2_1138967_1139647	2	1138967	1139647	4	901.0	SH3YL1	molqtl	sets=6,tissues=2,mods=eqtl	SNTG2	0	1	SH3YL1|sets=6|tissues=2|mods=eqtl	
2_14239418_14239418	2	14239418	14239418	1	944.0	LRATD1	nearest	closest|dist=533408bp	LRATD1	533408	0		
2_35952400_35952400	2	35952400	35952400	1	889.0	CRIM1	nearest	closest|dist=628398bp	CRIM1	628398	0		
2_129359232_129359232	2	129359232	129359232	1	960.0	HS6ST1	nearest	closest|dist=282790bp	HS6ST1	282790	0		
2_224638996_224638996	2	224638996	224638996	1	929.0	AP1S3	l2g	L2G=0.70	AP1S3	0	0		AP1S3(0.70)
