Region (hg19)	Gene	TSPs	Span (bp)	Span_1e-3cM_HapMapII	Span_1e-3cM_OMNI	MeanRate_cM_Mb_HapMapII
chr21:41,205,924-41,208,874	HMGN1	12	2950	0.72	0.307	0.24
chr5:8,017,470-8,024,003	MTRR	11	6533	3.251	1.937	0.5
chr4:144,655,489-144,662,054	GYPB	8	6565	2.243	0.739	0.34
chr4:115,378,668-115,379,737	UGT8	7	1069	0.021	0.269	0.02
chr4:71,210,148-71,210,970	MUC7	5	822	0.222	0.176	0.27
chr2:1,138,967-1,139,647	SH3YL1	4	680	1.434	0.99	2.11
chr4:57,919,221-57,919,705	IGFBP7-B	4	484	1.245	0.622	2.57
chr1:106,125,135-106,131,147	LINC01676	3	6012	3.899	3.121	0.65
chr4:56,144,663-56,147,967	SRD5A3	3	3304	0.667	0.599	0.2
chr11:24,791,431-24,792,057	LUZP2	3	626	0.009	1.244	0.01
chr2:237,968,214-237,968,421	COPS8	3	207	0.058	0.066	0.28
chr10:67,278,595-67,279,509	CTNNA3	2	914	0.001	0.051	0.0
chr5:29,637,400-29,637,695	CDH6	2	295	0.221	0.016	0.75
chr4:57,918,296-57,918,492	IGFBP7-A	2	196	0.565	1.542	2.88
chr10:25,593,349-25,593,541	GPR158	2	192	0.101	0.004	0.53
chr5:16,919,819-16,919,992	MYO10	2	173	0.133	0.121	0.77
chr1:4,917,460-4,917,460	AJAP1	1	0	0.0	0.0	
chr1:5,348,639-5,348,639	AJAP1	1	0	0.0	0.0	
chr1:116,732,423-116,732,423	MAB21L3	1	0	0.0	0.0	
chr1:246,380,688-246,380,688	SMYD3	1	0	0.0	0.0	
chr1:247,627,001-247,627,001	AHCTF1	1	0	0.0	0.0	
chr2:35,952,400-35,952,400	CRIM1	1	0	0.0	0.0	
chr2:42,237,228-42,237,228	PKDCC	1	0	0.0	0.0	
chr2:129,359,232-129,359,232	HS6ST1	1	0	0.0	0.0	
chr2:224,638,996-224,638,996	AP1S3	1	0	0.0	0.0	
chr2:224,887,004-224,887,004	SERPINE2	1	0	0.0	0.0	
chr3:145,043,291-145,043,291	PLOD2	1	0	0.0	0.0	
chr4:12,087,957-12,087,957	HS3ST1	1	0	0.0	0.0	
chr4:32,646,855-32,646,855	PCDH7	1	0	0.0	0.0	
chr4:57,698,600-57,698,600	SPINK2	1	0	0.0	0.0	
chr4:58,495,926-58,495,926	IGFBP7	1	0	0.0	0.0	
chr4:58,570,867-58,570,867	IGFBP7	1	0	0.0	0.0	
chr4:71,386,175-71,386,175	MUC7	1	0	0.0	0.0	
chr4:141,921,518-141,921,518	RNF150	1	0	0.0	0.0	
chr4:162,038,353-162,038,353	FSTL5	1	0	0.0	0.0	
chr4:165,753,488-165,753,488	MARCHF1	1	0	0.0	0.0	
chr4:172,136,342-172,136,342	GALNTL6	1	0	0.0	0.0	
chr4:180,069,715-180,069,715	AGA	1	0	0.0	0.0	
chr6:166,673,913-166,673,913	MPC1	1	0	0.0	0.0	
chr7:36,547,245-36,547,245	AOAH	1	0	0.0	0.0	
chr8:21,455,324-21,455,324	GFRA2	1	0	0.0	0.0	
chr8:54,528,520-54,528,520	ATP6V1H	1	0	0.0	0.0	
chr8:74,978,724-74,978,724	LY96	1	0	0.0	0.0	
chr9:7,215,204-7,215,204	KDM4C	1	0	0.0	0.0	
chr10:26,184,344-26,184,344	MYO3A	1	0	0.0	0.0	
chr10:59,743,375-59,743,375	IPMK	1	0	0.0	0.0	
chr10:62,623,360-62,623,360	RHOBTB1	1	0	0.0	0.0	
chr10:132,883,127-132,883,127	TCERG1L	1	0	0.0	0.0	
chr11:5,373,738-5,373,738	OR51E2	1	0	0.0	0.0	
chr11:133,338,872-133,338,872	OPCML	1	0	0.0	0.0	
chr13:37,973,335-37,973,335	POSTN	1	0	0.0	0.0	
chr13:59,433,547-59,433,547	DIAPH3	1	0	0.0	0.0	
chr13:74,300,726-74,300,726	KLF12	1	0	0.0	0.0	
chr14:22,758,552-22,758,552	OXA1L	1	0	0.0	0.0	
chr14:89,538,401-89,538,401	FOXN3	1	0	0.0	0.0	
chr15:54,984,861-54,984,861	UNC13C	1	0	0.0	0.0	
chr16:5,605,114-5,605,114	RBFOX1	1	0	0.0	0.0	
chr17:58,829,124-58,829,124	BCAS3	1	0	0.0	0.0	
chr17:70,908,606-70,908,606	SLC39A11	1	0	0.0	0.0	
chr20:52,817,810-52,817,810	PFDN4	1	0	0.0	0.0	
