Rank,Gene name,Chromosome,T1
1,HLA-A,6,375.3
2,HLA-B,6,366.3
3,FANK1,10,357.9
4,HLA-C,6,320.9
5,TEKT4,2,307.8
6,HLA-DPB1,6,262.0
7,OR4C3,11,246.8
8,HLA-DPA1,6,244.4
9,HLA-DQA1,6,240.9
10,RNF144B,6,237.8
11,CPE,4,216.3
12,AXDND1,1,206.9
13,ARPC5,1,205.5
14,HLA-DQB1,6,204.0
15,DMBT1,10,199.2
16,ARHGAP42,11,198.9
17,ZNF717,3,196.6
18,CTNNA3,10,195.8
19,RGS6,14,193.9
20,HLA-DRB1,6,189.4
21,CPNE4,3,184.1
22,RGL1,1,181.3
23,STK32A,5,179.7
24,POLN,4,175.3
25,KALRN,3,172.3
26,SNX31,8,171.7
27,MAP2K3,17,169.0
28,SLC2A9,4,166.7
29,KCNJ12,17,159.8
30,KCNJ18,17,159.8
31,ERAP1,5,159.2
32,APBB1IP,10,156.1
33,BNC2,9,154.5
34,FRAS1,4,151.1
35,WWTR1,3,150.9
36,ART3,4,150.3
37,SLC38A9,5,150.3
38,FXN,9,150.0
39,FOPNL,16,148.8
40,MAGI2,7,146.8
41,POLR1E,9,146.0
42,BCAS1,20,145.6
43,USP20,9,145.3
44,GRIN2A,16,145.2
45,OR4C45,11,145.0
46,SPEF2,5,143.6
47,MSH3,5,143.3
48,LUZP2,11,141.1
49,COL4A3,2,139.3
50,MLF1IP,4,138.1
51,ZNF568,19,137.9
52,MYRIP,3,136.8
53,IGSF5,21,136.2
54,KIAA1267,17,135.0
55,CCDC169-SOHLH2,13,134.9
56,CCDC169,13,134.9
57,KIAA1324L,7,134.5
58,RNF150,4,133.9
59,OR51F1,11,130.1
60,DLG2,11,130.0
61,KDM4C,9,129.7
62,HLA-DRA,6,129.0
63,FHIT,3,128.3
64,ANO3,11,128.1
65,CDSN,6,127.5
66,PSORS1C1,6,127.5
67,SH3RF3,2,127.3
68,CCDC146,7,127.1
69,L1TD1,1,126.0
70,FMO5,1,125.9
71,CEP112,17,125.0
72,TRPC6,11,124.8
73,C4orf37,4,124.7
74,PRIM2,6,124.2
75,ADH1C,4,124.0
76,MYO3A,10,123.4
77,IGFBP7,4,123.0
78,HLA-DRB5,6,122.7
79,CSMD1,8,122.0
80,EMID2,7,121.9
81,LRP1B,2,121.7
82,CHRNB3,8,121.6
83,KRT83,12,121.4
84,PTPRB,12,121.3
85,LGALS8,1,120.9
86,GCOM1,15,120.9
87,SNX19,11,120.1
88,SCP2,1,119.8
89,ANK3,10,119.4
90,OR51B6,11,119.4
91,OR5W2,11,119.0
92,RIMBP2,12,118.9
93,ADH4,4,118.6
94,ITGA1,5,118.5
95,EMR1,19,118.2
96,PACRG,6,118.1
97,KANK1,9,117.9
98,APOBEC4,1,117.8
99,ZDHHC7,16,117.5
100,ANK2,4,117.4
